[Environment Loop] Episode Length = 866 | Episode Return = -20.000 | Episodes = 1 | Steps = 866 | Steps Per Second = 146.945
[Learner] Loss = 0.088 | Steps = 1 | Walltime = 0
[Learner] Loss = 0.317 | Steps = 5 | Walltime = 1.431
[Learner] Loss = 0.187 | Steps = 9 | Walltime = 2.656
[Learner] Loss = 0.122 | Steps = 13 | Walltime = 3.884
[Learner] Loss = 0.083 | Steps = 17 | Walltime = 5.114
[Learner] Loss = 0.074 | Steps = 21 | Walltime = 6.328
[Learner] Loss = 0.063 | Steps = 25 | Walltime = 7.582
[Learner] Loss = 0.069 | Steps = 28 | Walltime = 8.593
[Learner] Loss = 0.058 | Steps = 32 | Walltime = 9.907
[Learner] Loss = 0.040 | Steps = 36 | Walltime = 11.245
[Learner] Loss = 0.064 | Steps = 40 | Walltime = 12.505
[Learner] Loss = 0.050 | Steps = 44 | Walltime = 13.764
[Learner] Loss = 0.058 | Steps = 47 | Walltime = 14.798
[Learner] Loss = 0.056 | Steps = 51 | Walltime = 16.113
[Learner] Loss = 0.057 | Steps = 55 | Walltime = 17.369
[Learner] Loss = 0.059 | Steps = 59 | Walltime = 18.653
[Learner] Loss = 0.041 | Steps = 63 | Walltime = 19.994
[Learner] Loss = 0.071 | Steps = 67 | Walltime = 21.262
[Learner] Loss = 0.068 | Steps = 70 | Walltime = 22.319
[Learner] Loss = 0.058 | Steps = 73 | Walltime = 23.328
[Learner] Loss = 0.061 | Steps = 77 | Walltime = 24.646
[Environment Loop] Episode Length = 764 | Episode Return = -21.000 | Episodes = 2 | Steps = 1630 | Steps Per Second = 24.874
[Learner] Loss = 0.043 | Steps = 80 | Walltime = 25.685
[Learner] Loss = 0.061 | Steps = 84 | Walltime = 26.975
[Learner] Loss = 0.037 | Steps = 87 | Walltime = 27.979
[Learner] Loss = 0.065 | Steps = 91 | Walltime = 29.259
[Learner] Loss = 0.059 | Steps = 95 | Walltime = 30.595
[Learner] Loss = 0.057 | Steps = 98 | Walltime = 31.637
[Learner] Loss = 0.180 | Steps = 102 | Walltime = 32.911
[Learner] Loss = 0.112 | Steps = 106 | Walltime = 34.217
[Learner] Loss = 0.087 | Steps = 110 | Walltime = 35.472
[Learner] Loss = 0.092 | Steps = 114 | Walltime = 36.740
[Learner] Loss = 0.076 | Steps = 118 | Walltime = 38.059
[Learner] Loss = 0.050 | Steps = 122 | Walltime = 39.392
[Learner] Loss = 0.070 | Steps = 125 | Walltime = 40.409
[Learner] Loss = 0.063 | Steps = 128 | Walltime = 41.463
[Learner] Loss = 0.050 | Steps = 131 | Walltime = 42.488
[Learner] Loss = 0.049 | Steps = 135 | Walltime = 43.799
[Learner] Loss = 0.052 | Steps = 139 | Walltime = 45.120
[Learner] Loss = 0.040 | Steps = 143 | Walltime = 46.434
[Learner] Loss = 0.054 | Steps = 147 | Walltime = 47.747
[Learner] Loss = 0.046 | Steps = 151 | Walltime = 49.049
[Learner] Loss = 0.046 | Steps = 154 | Walltime = 50.056
[Learner] Loss = 0.037 | Steps = 158 | Walltime = 51.334
[Learner] Loss = 0.044 | Steps = 162 | Walltime = 52.602
[Learner] Loss = 0.054 | Steps = 166 | Walltime = 53.918
[Learner] Loss = 0.046 | Steps = 170 | Walltime = 55.220
[Learner] Loss = 0.058 | Steps = 174 | Walltime = 56.533
[Environment Loop] Episode Length = 764 | Episode Return = -21.000 | Episodes = 3 | Steps = 2394 | Steps Per Second = 24.253
